epoch, training loss, rmse loss, validation loss
495,32.135,32.135,0.000
496,32.195,32.195,0.000
497,32.183,32.183,0.000
498,32.281,32.281,0.000
499,32.173,32.173,0.000
500,32.217,32.217,0.000
501,32.218,32.218,0.000
502,32.156,32.156,0.000
503,32.210,32.210,0.000
504,32.163,32.163,0.000
505,32.252,32.252,0.000
506,32.070,32.070,0.000
507,32.010,32.010,0.000
508,32.196,32.196,0.000
509,32.166,32.166,0.000
510,32.152,32.152,0.000
511,32.162,32.162,0.000
512,32.037,32.037,0.000
513,32.114,32.114,0.000
514,32.215,32.215,0.000
515,32.033,32.033,0.000
516,32.175,32.175,0.000
517,32.094,32.094,0.000
518,32.043,32.043,0.000
519,32.176,32.176,0.000
520,32.153,32.153,0.000
521,32.137,32.137,0.000
522,32.169,32.169,0.000
523,32.125,32.125,0.000
524,32.182,32.182,0.000
525,32.117,32.117,0.000
526,32.214,32.214,0.000
527,32.162,32.162,0.000
528,32.149,32.149,0.000
529,32.050,32.050,0.000
530,32.130,32.130,0.000
531,32.114,32.114,0.000
532,32.121,32.121,0.000
533,32.186,32.186,0.000
534,32.059,32.059,0.000
535,32.088,32.088,0.000
536,32.169,32.169,0.000
537,32.156,32.156,0.000
538,32.190,32.190,0.000
539,32.119,32.119,0.000
540,32.143,32.143,0.000
541,32.169,32.169,0.000
542,32.130,32.130,0.000
543,32.116,32.116,0.000
544,32.113,32.113,0.000
545,32.149,32.149,0.000
546,32.063,32.063,0.000
547,32.127,32.127,0.000
548,32.079,32.079,0.000
549,32.097,32.097,0.000
550,32.125,32.125,0.000
551,32.086,32.086,0.000
552,32.164,32.164,0.000
553,32.133,32.133,0.000
554,32.209,32.209,0.000
555,32.043,32.043,0.000
556,32.018,32.018,0.000
557,32.056,32.056,0.000
558,32.206,32.206,0.000
559,32.144,32.144,0.000
560,32.168,32.168,0.000
561,32.151,32.151,0.000
562,32.179,32.179,0.000
563,32.106,32.106,0.000
564,32.113,32.113,0.000
565,32.067,32.067,0.000
566,32.088,32.088,0.000
567,32.067,32.067,0.000
568,32.113,32.113,0.000
569,32.216,32.216,0.000
570,32.021,32.021,0.000
571,32.196,32.196,0.000
572,32.055,32.055,0.000
573,32.067,32.067,0.000
574,32.071,32.071,0.000
575,32.157,32.157,0.000
576,32.086,32.086,0.000
577,32.122,32.122,0.000
578,32.093,32.093,0.000
579,32.062,32.062,0.000
580,31.983,31.983,0.000
581,32.009,32.009,0.000
582,32.148,32.148,0.000
583,32.123,32.123,0.000
584,32.111,32.111,0.000
585,32.013,32.013,0.000
586,31.948,31.948,0.000
587,32.114,32.114,0.000
588,32.115,32.115,0.000
589,32.157,32.157,0.000
590,32.039,32.039,0.000
591,32.047,32.047,0.000
592,32.161,32.161,0.000
593,32.072,32.072,0.000
594,32.132,32.132,0.000
595,32.122,32.122,0.000
596,32.158,32.158,0.000
597,32.099,32.099,0.000
598,32.097,32.097,0.000
599,32.003,32.003,0.000
600,32.083,32.083,0.000
601,32.128,32.128,0.000
602,32.147,32.147,0.000
603,32.055,32.055,0.000
604,32.138,32.138,0.000
605,32.095,32.095,0.000
606,32.092,32.092,0.000
607,32.118,32.118,0.000
608,31.997,31.997,0.000
609,32.120,32.120,0.000
610,32.064,32.064,0.000
611,32.094,32.094,0.000
612,32.017,32.017,0.000
613,32.120,32.120,0.000
614,32.060,32.060,0.000
615,32.084,32.084,0.000
616,32.141,32.141,0.000
617,32.110,32.110,0.000
618,32.042,32.042,0.000
619,32.096,32.096,0.000
620,32.098,32.098,0.000
621,32.122,32.122,0.000
622,32.121,32.121,0.000
623,32.091,32.091,0.000
624,32.072,32.072,0.000
625,32.064,32.064,0.000
626,32.136,32.136,0.000
627,31.888,31.888,0.000
628,32.005,32.005,0.000
629,32.052,32.052,0.000
630,32.105,32.105,0.000
631,32.020,32.020,0.000
632,32.018,32.018,0.000
633,32.051,32.051,0.000
634,32.024,32.024,0.000
635,32.134,32.134,0.000
636,32.113,32.113,0.000
637,32.115,32.115,0.000
638,32.049,32.049,0.000
639,31.982,31.982,0.000
640,32.087,32.087,0.000
641,32.057,32.057,0.000
642,32.080,32.080,0.000
643,32.041,32.041,0.000
644,32.140,32.140,0.000
645,32.045,32.045,0.000
646,32.096,32.096,0.000
647,32.003,32.003,0.000
648,32.034,32.034,0.000
649,32.087,32.087,0.000
650,32.073,32.073,0.000
651,32.022,32.022,0.000
652,32.048,32.048,0.000
653,32.038,32.038,0.000
654,32.034,32.034,0.000
655,32.060,32.060,0.000
656,32.107,32.107,0.000
657,32.013,32.013,0.000
658,32.146,32.146,0.000
659,32.058,32.058,0.000
660,32.021,32.021,0.000
661,32.076,32.076,0.000
662,32.125,32.125,0.000
663,32.063,32.063,0.000
664,32.103,32.103,0.000
665,32.051,32.051,0.000
666,32.118,32.118,0.000
667,32.105,32.105,0.000
668,32.091,32.091,0.000
669,32.047,32.047,0.000
670,32.030,32.030,0.000
671,32.080,32.080,0.000
672,32.070,32.070,0.000
673,31.992,31.992,0.000
674,32.131,32.131,0.000
675,32.068,32.068,0.000
676,31.981,31.981,0.000
677,31.978,31.978,0.000
678,32.090,32.090,0.000
679,31.947,31.947,0.000
680,32.026,32.026,0.000
681,32.060,32.060,0.000
682,32.060,32.060,0.000
683,32.060,32.060,0.000
684,32.059,32.059,0.000
685,32.068,32.068,0.000
686,32.050,32.050,0.000
687,32.069,32.069,0.000
688,32.172,32.172,0.000
689,31.991,31.991,0.000
690,32.055,32.055,0.000
691,32.033,32.033,0.000
692,32.099,32.099,0.000
